street_name,city_district
Chrómová,Barca
Idanská,Západ
Inovecká ulica,Západ
Inžinierska,Západ
Ipeľská,Západ
Irkutská,Nad jazerom
Jabloňová,Šaca
Jačmenná,Vyšné Opátske
Jahodová,Sever
Jakobyho,Staré Mesto
Jaltská,Dargovských hrdinov
Jána Pavla II,Sídlisko KVP
Janigova,Sídlisko KVP
Janitorova,Barca
Jánošíkova,Juh
Jantárová,Juh
Jantárové námestie,Západ
Jarabinová,Vyšné Opátske
Jarková,Šaca
Jarmočná,Juh
Jarná,Staré Mesto
Jaseňová,Košická Nová Ves
Jasovská,Pereš
Jasovská,Lorinčík
Jasuschova,Sídlisko KVP
Javorová,Juh
Jazdecká,Sever
Jazerná,Juh
Jazmínová,Západ
Jazvečia,Ťahanovce
Jedlíkova,Západ
Jedľová,Sever
Jegorovovo námestie,Dargovských hrdinov
Jelenia,Vyšné Opátske
Jelšavská,Pereš
Jelšová,Vyšné Opátske
Jenisejská,Nad jazerom
Jesenná,Staré Mesto
Jesenského,Staré Mesto
Jihlavská,Západ
Jilemnického,Staré Mesto
Jiskrova,Staré Mesto
Juhoslovanská,Sídlisko Ťahanovce
Junácka,Sever
Južná trieda,Juh
Južné nábrežie,Vyšné Opátske
K ihrisku,Kavečany
K lesu,Krásna
K letisku,Barca
K majeru,Krásna
Kadlubská,Kavečany
Kalinčiakova,Juh
Kalinovská,Dargovských hrdinov
Kameničná,Poľov
Kamenná,Šaca
Kapustná,Barca
Karlovarská,Západ
Karmelitánska ulica,Lorinčík
Karpatská,Staré Mesto
Kasárenské námestie,Staré Mesto
Kaspická,Nad jazerom
Kaštieľna,Šaca
Katkin park,Západ
Kavečianska cesta,Sever
Keldišova,Krásna
Kertésova,Krásna
Kežmarská,Západ
Kisdyho,Sever
Kladenská,Krásna
Klimkovičova,Sídlisko KVP
Klinčeková,Vyšné Opátske
Kmeťova,Staré Mesto
Komenského,Sever
Komenského,Staré Mesto
Komenského park,Sever
Končistá,Sever
Konopná,Krásna
Konvalinková,Západ
Kopečná,Kavečany
Kórejská,Juh
Korýtková,Džungľa
Kosatcová,Vyšné Opátske
Kostolianska cesta,Sever
Kostolná,Sever
Kostrova,Barca
Košťova,Juh
Kováčska,Staré Mesto
Kovaľská,Poľov
Kozáková ulica,Lorinčík
Kpt. Jaroša,Dargovských hrdinov
Kpt. Nálepku,Staré Mesto
Krajná,Krásna
Krakovská,Juh
Králičia,Vyšné Opátske
Krasiňského,Juh
